PVTTABLE LABEL = "NONEQ TABSAT5", PHASE = TWO,\ 
COMPONENTS = ("CH4","C2H6","C3H8","iC4H10","nC4H10","iC5H12","nC5H12","nC6H14","nC7H16","nC8H18","nC9H20","nC10H22","nC11H24","nC12H26","nC14H30","N2","H2O","CO2","C15+"),\
PVTTABLE POINT = (20800000.0,103.0,314.8549008770084,314.8549008770084,1.3931733256202606e-05,1.3931733256202606e-05,-2.4660755657989144,-2.4660755657989144,1.0,0.00031507386021961356,0.00031507386021961356,3998.989155682545,3998.989155682545,-10712.548960817046,-10712.548960817046,0.05698727062001002,0.05698727062001002,0.0,100.0,100.0)
PVTTABLE POINT = (20800000.0,106.0,309.24964671867616,309.24964671867616,1.3776087722119428e-05,1.3776087722119428e-05,-2.365444743925571,-2.365444743925571,1.0,0.0003120589116580462,0.0003120589116580462,3916.468908261847,3916.468908261847,-4118.972448868677,-4118.972448868677,0.05658232619485061,0.05658232619485061,0.0,100.0,100.0)
PVTTABLE POINT = (20800000.0,109.0,303.86019344634605,303.86019344634605,1.3616615393385657e-05,1.3616615393385657e-05,-2.269625010310359,-2.269625010310359,1.0,0.00030928015263791706,0.00030928015263791706,3837.575613548247,3837.575613548247,2413.9100720873103,2413.9100720873103,0.05621344403216216,0.05621344403216216,0.0,100.0,100.0)
PVTTABLE POINT = (20800000.0,112.0,298.6765137267852,298.6765137267852,1.345450629386577e-05,1.345450629386577e-05,-2.1784858272654164,-2.1784858272654164,1.0,0.00030672003684138803,0.00030672003684138803,3762.2892918102575,3762.2892918102575,8888.534775976092,8888.534775976092,0.05587835877414596,0.05587835877414596,0.0,100.0,100.0)
PVTTABLE POINT = (20800000.0,115.0,293.68885100463007,293.68885100463007,1.3290785071644834e-05,1.3290785071644834e-05,-2.091871440275163,-2.091871440275163,1.0,0.00030436236895563056,0.00030436236895563056,3690.553391583834,3690.553391583834,15307.36835403461,15307.36835403461,0.05557494750856819,0.05557494750856819,0.0,100.0,100.0)
PVTTABLE POINT = (20800000.0,118.0,288.8877691571533,288.8877691571533,1.3126327032856566e-05,1.3126327032856566e-05,-2.009608536240091,-2.009608536240091,1.0,0.0003021922551508884,0.0003021922551508884,3622.283564556512,3622.283564556512,21672.880620643497,21672.880620643497,0.0553012254093853,0.0553012254093853,0.0,100.0,100.0)
PVTTABLE POINT = (20800000.0,121.0,284.2641880516721,284.2641880516721,1.2961874063104116e-05,1.2961874063104116e-05,-1.9315125111778775,-1.9315125111778775,1.0,0.0003001961174098817,0.0003001961174098817,3557.3750215752248,3557.3750215752248,27987.52132047247,27987.52132047247,0.05505534028273541,0.05505534028273541,0.0,100.0,100.0)
PVTTABLE POINT = (20800000.0,124.0,279.8094053848764,279.8094053848764,1.2798049926446837e-05,1.2798049926446837e-05,-1.8573925157025015,-1.8573925157025015,1.0,0.0002983613737549033,0.0002983613737549033,3495.7085580894145,3495.7085580894145,34253.70304966066,34253.70304966066,0.05483556613747352,0.05483556613747352,0.0,100.0,100.0)
PVTTABLE POINT = (20800000.0,127.0,275.5151091607664,275.5151091607664,1.2635374615962495e-05,1.2635374615962495e-05,-1.787055448557004,-1.787055448557004,1.0,0.0002966766887383112,0.0002966766887383112,3437.1554539760614,3437.1554539760614,40473.787429114804,40473.787429114804,0.05464029634977444,0.05464029634977444,0.0,100.0,100.0)
PVTTABLE POINT = (20800000.0,130.0,271.37338248770715,271.37338248770715,1.2474277569427855e-05,1.2474277569427855e-05,-1.7203090604543285,-1.7203090604543285,1.0,0.00029513142522688974,0.00029513142522688974,3381.58139642527,3381.58139642527,46650.07436354458,46650.07436354458,0.0544680366247964,0.0544680366247964,0.0,100.0,100.0)
PVTTABLE POINT = (23000000.0,40.0,520.8213989373476,520.8213989373476,1.2474277569427855e-05,6.122935648503266e-07,-1.7203090604543285,-0.38064797125459743,0.0,0.0041273454115874795,0.00041273454115874796,5195.906665022369,5195.268798154066,-169634.73743041884,-4663701.310191741,0.05242226597991216,0.05242226597991216,0.891775728012487,100.0,100.0)
PVTTABLE POINT = (23000000.0,43.0,510.38287372582084,510.38287372582084,1.2474277569427855e-05,1.4545352762262824e-06,-1.7203090604543285,-0.7289581597795979,0.0,0.004096136406911254,0.00040961364069112534,5198.498560886458,5197.923310502766,-162149.1596642835,-4656215.732425606,0.05237209083682495,0.05237209083682495,0.870362608745029,100.0,100.0)
PVTTABLE POINT = (23000000.0,46.0,500.06893624059444,500.06893624059444,1.2474277569427855e-05,1.2815371655338598e-06,-1.7203090604543285,-1.685449826692884,0.0,0.004064288789357905,0.0004064288789357905,5191.490151177234,5191.488311433574,-154662.89026210923,-4648729.463023432,0.0523211421240318,0.0523211421240318,0.8490920764828842,100.0,100.0)
PVTTABLE POINT = (23000000.0,49.0,489.8991598852714,489.8991598852714,1.2474277569427855e-05,5.436479088502845e-07,-1.7203090604543285,-0.30889125384902955,0.0,0.004031972879839728,0.00040319728798397276,5176.034633459457,5175.94547590869,-147182.28322017193,-4641248.855981494,0.05226938742427462,0.05226938742427462,0.8279689713068616,100.0,100.0)
PVTTABLE POINT = (23000000.0,52.0,479.8920952395958,479.8920952395958,1.2474277569427855e-05,1.200671860786592e-06,-1.7203090604543285,-0.6462671668501457,0.0,0.003999406407491863,0.00039994064074918624,5151.398597472517,5151.451308419117,-139713.65639609657,-4633780.229157419,0.052216791991138434,0.052216791991138434,0.8069986265512112,100.0,100.0)
PVTTABLE POINT = (23000000.0,55.0,470.064965654027,470.064965654027,1.2474277569427855e-05,1.0510605234946575e-06,-1.7203090604543285,-0.6275693476786204,0.0,0.003967063790365341,0.00039670637903653407,5118.208682484102,5118.333245993429,-132263.18396332115,-4626329.7567246435,0.052163318499469494,0.052163318499469494,0.7861869543218376,100.0,100.0)
PVTTABLE POINT = (23000000.0,58.0,460.43340407950564,460.43340407950564,1.2474277569427855e-05,7.465665094062514e-07,-1.7203090604543285,-0.43363797863981385,0.0,0.003935545709945498,0.00039355457099454977,5077.117106742621,5077.0771563970175,-124836.7948821634,-4618903.367643486,0.05210892675893248,0.05210892675893248,0.765540553478644,100.0,100.0)
PVTTABLE POINT = (23000000.0,61.0,451.01123744563915,451.01123744563915,1.2474277569427855e-05,8.179951759080227e-07,-1.7203090604543285,-0.4822635916528816,0.0,0.003902118135751681,0.0003902118135751681,5028.6123152281425,5028.307157889568,-117440.07772470359,-4611506.650486026,0.05205357338359675,0.05205357338359675,0.7450668482586026,100.0,100.0)
PVTTABLE POINT = (23000000.0,64.0,441.8103308625487,441.8103308625487,1.2474277569427855e-05,9.410643263797293e-07,-1.7203090604543285,-0.5648666802959361,0.0,0.003868780653319904,0.0003868780653319904,4970.978455350486,4972.759509976718,-110078.19949006103,-4604144.772251383,0.051997211408704065,0.051997211408704065,0.7247742696495518,100.0,100.0)
PVTTABLE POINT = (23000000.0,67.0,432.84049270898015,432.84049270898015,1.2474277569427855e-05,1.1302814391713922e-06,-1.7203090604543285,-0.6864156408232287,0.0,0.0038356414513608227,0.00038356414513608227,4910.583235180873,4911.252670536193,-102755.83870263398,-4596822.411463956,0.05193978984351171,0.05193978984351171,0.7046724979923222,100.0,100.0)
PVTTABLE POINT = (23000000.0,70.0,424.109444560681,424.109444560681,1.2474277569427855e-05,1.2789465795395255e-06,-1.7203090604543285,-0.7700631551638372,0.0,0.003802798443014609,0.00038027984430146085,4844.590208542298,4844.655912009505,-95477.1381220743,-4589543.710883397,0.051881253146134176,0.051881253146134176,0.6847727959995731,100.0,100.0)
PVTTABLE POINT = (23000000.0,73.0,415.62284625734077,415.62284625734077,1.2474277569427855e-05,1.5626669858767205e-06,-1.7203090604543285,-0.9514312432196302,0.0,0.003770341756710749,0.0003770341756710749,4773.780804015318,4773.858629279998,-88245.67300802097,-4582312.245769343,0.05182154060235167,0.05182154060235167,0.6650884802278303,100.0,100.0)
PVTTABLE POINT = (23000000.0,76.0,407.3843750501056,407.3843750501056,1.2474277569427855e-05,1.9135727133781606e-06,-1.7203090604543285,-1.1201039343499475,0.0,0.0037383524970475684,0.0003738352497047568,4699.65886047931,4699.742282996013,-81064.43905295059,-4575131.011814273,0.051760585585022584,0.051760585585022584,0.6456356140473891,100.0,100.0)
PVTTABLE POINT = (23000000.0,79.0,399.39584610433525,399.39584610433525,1.3129141627768035e-05,1.3129141627768035e-05,-3.463577636155227,-3.463577636155227,1.0,0.00038139861916348537,0.00038139861916348537,4623.156313348739,4623.156313348739,-73935.85552507732,-73935.85552507732,0.0664254606853454,0.0664254606853454,0.0,100.0,100.0)
PVTTABLE POINT = (23000000.0,82.0,391.65736553984186,391.65736553984186,1.3138730819393104e-05,1.3138730819393104e-05,-3.3472610737477755,-3.3472610737477755,1.0,0.00037478310368081714,0.00037478310368081714,4544.898846320903,4544.898846320903,-66861.78261948004,-66861.78261948004,0.06555401586659726,0.06555401586659726,0.0,100.0,100.0)
PVTTABLE POINT = (23000000.0,85.0,384.1675061427536,384.1675061427536,1.3129495103052332e-05,1.3129495103052332e-05,-3.2322000095976047,-3.2322000095976047,1.0,0.00036862245069224463,0.00036862245069224463,4465.702520163158,4465.702520163158,-59843.55068303365,-59843.55068303365,0.06473906524446017,0.06473906524446017,0.0,100.0,100.0)
PVTTABLE POINT = (23000000.0,88.0,376.92349404200763,376.92349404200763,1.310308753815913e-05,1.310308753815913e-05,-3.118961782435237,-3.118961782435237,1.0,0.0003628877079068759,0.0003628877079068759,4386.225223030602,4386.225223030602,-52881.99691545684,-52881.99691545684,0.06397817317933384,0.06397817317933384,0.0,100.0,100.0)
PVTTABLE POINT = (23000000.0,91.0,369.92140117994234,369.92140117994234,1.3061181707253808e-05,1.3061181707253808e-05,-3.0080228808800538,-3.0080228808800538,1.0,0.0003575511940117963,0.0003575511940117963,4307.045342700518,4307.045342700518,-45977.509754728526,-45977.509754728526,0.06326887439300616,0.06326887439300616,0.0,100.0,100.0)
PVTTABLE POINT = (23000000.0,94.0,363.1563327186465,363.1563327186465,1.3005432846622087e-05,1.3005432846622087e-05,-2.8997725771788936,-2.8997725771788936,1.0,0.00035258667260042154,0.00035258667260042154,4228.660767638668,4228.660767638668,-39130.07517598104,-39130.07517598104,0.06260870392264338,0.06260870392264338,0.0,100.0,100.0)
PVTTABLE POINT = (23000000.0,97.0,356.6226066459986,356.6226066459986,1.2937446661234143e-05,1.2937446661234143e-05,-2.794518678256764,-2.794518678256764,1.0,0.0003479692569916428,0.0003479692569916428,4151.490922257052,4151.490922257052,-32339.325280267745,-32339.325280267745,0.06199522270483096,0.06199522270483096,0.0,100.0,100.0)
PVTTABLE POINT = (23000000.0,100.0,350.3139205433307,350.3139205433307,1.2858755558553785e-05,1.2858755558553785e-05,-2.6924946845872304,-2.6924946845872304,1.0,0.00034367557118684743,0.00034367557118684743,4075.881037217,4075.881037217,-25604.586401419714,-25604.586401419714,0.061426038692226174,0.061426038692226174,0.0,100.0,100.0)
PVTTABLE POINT = (23000000.0,103.0,344.22350240753065,344.22350240753065,1.2770801671228675e-05,1.2770801671228675e-05,-2.593867740967853,-2.593867740967853,1.0,0.0003396836002182199,0.0003396836002182199,4002.1079284148254,4002.1079284148254,-18924.92486417573,-18924.92486417573,0.06089882366540786,0.06089882366540786,0.0,100.0,100.0)
PVTTABLE POINT = (23000000.0,106.0,338.34424531448343,338.34424531448343,1.2674925820756411e-05,1.2674925820756411e-05,-2.4987468754981275,-2.4987468754981275,1.0,0.00033597280677840035,0.00033597280677840035,3930.386689886033,3930.386689886033,-12299.190466012806,-12299.190466012806,0.06041132625482008,0.06041132625482008,0.0,100.0,100.0)
PVTTABLE POINT = (23000000.0,109.0,332.6688250353994,332.6688250353994,1.2572361477148049e-05,1.2572361477148049e-05,-2.4071911383332196,-2.4071911383332196,1.0,0.00033252399896774564,0.00033252399896774564,3860.877787002167,3860.877787002167,-5726.056469689123,-5726.056469689123,0.05996138151938977,0.05996138151938977,0.0,100.0,100.0)
PVTTABLE POINT = (23000000.0,112.0,327.18980103299685,327.18980103299685,1.2464232763674203e-05,1.2464232763674203e-05,-2.3192173594634693,-2.3192173594634693,1.0,0.0003293192160786049,0.0003293192160786049,3793.6941678160047,3793.6941678160047,795.9440597919747,795.9440597919747,0.05954691754168463,0.05954691754168463,0.0,100.0,100.0)
PVTTABLE POINT = (23000000.0,115.0,321.899701475376,321.899701475376,1.2351555612338777e-05,1.2351555612338777e-05,-2.234807338592694,-2.234807338592694,1.0,0.0003263418638328915,0.0003263418638328915,3728.9081042245657,3728.9081042245657,7268.386080781929,7268.386080781929,0.05916595945743701,0.05916595945743701,0.0,100.0,100.0)
PVTTABLE POINT = (23000000.0,118.0,316.79109337960494,316.79109337960494,1.2235241270154001e-05,1.2235241270154001e-05,-2.1539143574028623,-2.1539143574028623,1.0,0.00032357648554975145,0.00032357648554975145,3666.557576831953,3666.557576831953,13692.924653743394,13692.924653743394,0.05881663133630485,0.05881663133630485,0.0,100.0,100.0)
PVTTABLE POINT = (23000000.0,121.0,311.8566408314018,311.8566408314018,1.2116101469155132e-05,1.2116101469155132e-05,-2.0764689648327534,-2.0764689648327534,1.0,0.00032100875755923053,0.00032100875755923053,3606.6521195931587,3606.6521195931587,20071.26947914809,20071.26947914809,0.0584971565078621,0.0584971565078621,0.0,100.0,100.0)
PVTTABLE POINT = (23000000.0,124.0,307.0891501749331,307.0891501749331,1.1994854690284701e-05,1.1994854690284701e-05,-2.002384030769854,-2.002384030769854,1.0,0.00031862536822450493,0.00031862536822450493,3549.1780175864396,3549.1780175864396,26405.16446251981,26405.16446251981,0.05820585634399329,0.05820585634399329,0.0,100.0,100.0)
PVTTABLE POINT = (23000000.0,127.0,302.48160576021,302.48160576021,1.1872133063371044e-05,1.1872133063371044e-05,-1.9315590949007637,-1.9315590949007637,1.0,0.000316414072772534,0.000316414072772534,3494.1028895439263,3494.1028895439263,32696.36972442735,32696.36972442735,0.057941148082713695,0.057941148082713695,0.0,100.0,100.0)
PVTTABLE POINT = (23000000.0,130.0,298.0271972448846,298.0271972448846,1.1748489546817416e-05,1.1748489546817416e-05,-1.8638840578342852,-1.8638840578342852,1.0,0.00031436348150141763,0.00031436348150141763,3441.3796633024117,3441.3796633024117,38946.646230656654,38946.646230656654,0.05770154189706239,0.05770154189706239,0.0,100.0,100.0)
PVTTABLE POINT = (25200000.0,40.0,543.1681016713372,543.1681016713372,1.1748489546817416e-05,5.910743457184659e-07,-1.8638840578342852,-0.37237334210964795,0.0,0.00424863929397556,0.000424863929397556,4837.704863660421,4837.3341534454,-173751.50256402418,-4667818.075325347,0.05242226597991216,0.05242226597991216,0.891775728012487,100.0,100.0)
PVTTABLE POINT = (25200000.0,43.0,533.3480546347213,533.3480546347213,1.1748489546817416e-05,1.3737067149580308e-06,-1.8638840578342852,-0.702922502046314,0.0,0.004222126598715072,0.0004222126598715072,4844.1979406249675,4843.85188917423,-166506.3955195658,-4660572.968280888,0.05237209083682495,0.05237209083682495,0.870362608745029,100.0,100.0)
PVTTABLE POINT = (25200000.0,46.0,523.622678926455,523.622678926455,1.1748489546817416e-05,1.2419727858267632e-06,-1.8638840578342852,-1.6504152170168105,0.0,0.004194906896093246,0.00041949068960932457,4843.874532670257,4843.874072939861,-159256.2964388011,-4653322.8692001235,0.0523211421240318,0.0523211421240318,0.8490920764828842,100.0,100.0)
PVTTABLE POINT = (25200000.0,49.0,514.007265045342,514.007265045342,1.1748489546817416e-05,5.219902239833532e-07,-1.8638840578342852,-0.3010075990758026,0.0,0.004167122901524599,0.0004167122901524599,4837.348320342306,4837.32875011973,-152005.9153906433,-4646072.488151966,0.05226938742427462,0.05226938742427462,0.8279689713068616,100.0,100.0)
PVTTABLE POINT = (25200000.0,52.0,504.5165314992443,504.5165314992443,1.1748489546817416e-05,1.1393541084059207e-06,-1.8638840578342852,-0.6247484732524956,0.0,0.004138968282242854,0.0004138968282242854,4824.230392533253,4824.243334713719,-144759.98060061317,-4638826.553361936,0.052216791991138434,0.052216791991138434,0.8069986265512112,100.0,100.0)
PVTTABLE POINT = (25200000.0,55.0,495.16442783186864,495.16442783186864,1.1748489546817416e-05,1.0028825482846956e-06,-1.8638840578342852,-0.6088732265525029,0.0,0.004110909437429148,0.0004110909437429148,4804.857626625222,4804.745482683735,-137523.17377845664,-4631589.746539779,0.052163318499469494,0.052163318499469494,0.7861869543218376,100.0,100.0)
PVTTABLE POINT = (25200000.0,58.0,485.96395632893586,485.96395632893586,1.1748489546817416e-05,7.148843104174926e-07,-1.8638840578342852,-0.42162245480227034,0.0,0.004083541565543307,0.0004083541565543307,4779.3261708015325,4779.0599362114235,-130300.06785349548,-4624366.640614818,0.05210892675893248,0.05210892675893248,0.765540553478644,100.0,100.0)
PVTTABLE POINT = (25200000.0,61.0,476.9270140264558,476.9270140264558,1.1748489546817416e-05,7.825784637840046e-07,-1.8638840578342852,-0.46852859267477753,0.0,0.004053970410984993,0.00040539704109849933,4746.976123785146,4747.5014446141495,-123095.06517663505,-4617161.637937957,0.05205357338359675,0.05205357338359675,0.7450668482586026,100.0,100.0)
PVTTABLE POINT = (25200000.0,64.0,468.06426436306594,468.06426436306594,1.1748489546817416e-05,8.988216772168722e-07,-1.8638840578342852,-0.5480613064103057,0.0,0.00402427358117965,0.00040242735811796493,4709.560312546061,4710.464270465127,-115912.34198397025,-4609978.914745293,0.051997211408704065,0.051997211408704065,0.7247742696495518,100.0,100.0)
PVTTABLE POINT = (25200000.0,67.0,459.3850394293343,459.3850394293343,1.1748489546817416e-05,1.0763785625941412e-06,-1.8638840578342852,-0.6646014324607774,0.0,0.003994545199705627,0.00039945451997056274,4666.608002977781,4668.40894104981,-108755.79827090353,-4602822.371032226,0.05193978984351171,0.05193978984351171,0.7046724979923222,100.0,100.0)
PVTTABLE POINT = (25200000.0,70.0,450.89727873574265,450.89727873574265,1.1748489546817416e-05,1.2146726719897854e-06,-1.8638840578342852,-0.7441819335542494,0.0,0.003964874113699128,0.0003964874113699128,4621.014970566683,4621.847175569515,-101629.01800728776,-4595695.59076861,0.051881253146134176,0.051881253146134176,0.6847727959995731,100.0,100.0)
PVTTABLE POINT = (25200000.0,73.0,442.60749905115404,442.60749905115404,1.1748489546817416e-05,1.4776436823967982e-06,-1.8638840578342852,-0.9168225437880645,0.0,0.003935344282976919,0.00039353442829769187,4570.26706851286,4571.325874048289,-94535.23598338757,-4588601.80874471,0.05182154060235167,0.05182154060235167,0.6650884802278303,100.0,100.0)
PVTTABLE POINT = (25200000.0,76.0,434.5207994796806,434.5207994796806,1.1748489546817416e-05,1.7980068077421872e-06,-1.8638840578342852,-1.0750904848965488,0.0,0.0039060355657344727,0.00039060355657344727,4516.917090584882,4517.411154524323,-87477.31633853074,-4581543.889099853,0.051760585585022584,0.051760585585022584,0.6456356140473891,100.0,100.0)
PVTTABLE POINT = (25200000.0,79.0,426.6408952550393,426.6408952550393,1.1748489546817416e-05,2.1692177733723365e-06,-1.8638840578342852,-1.2686679161217562,0.0,0.0038770240279198975,0.0003877024027919897,4460.623099228127,4460.673234952993,-80457.73972699605,-4574524.312488318,0.05169831466344081,0.05169831466344081,0.6264340746123613,100.0,100.0)
PVTTABLE POINT = (25200000.0,82.0,418.9701774960268,418.9701774960268,1.1748489546817416e-05,3.11854884051476e-06,-1.8638840578342852,-1.675803618356012,0.0,0.003848385351648862,0.00038483853516488623,4401.077541359333,4401.672821093145,-73478.59978757706,-4567545.172548899,0.051634646521843734,0.051634646521843734,0.6075092960217184,100.0,100.0)
PVTTABLE POINT = (25200000.0,85.0,411.509794648825,411.509794648825,1.1748489546817416e-05,5.205428151713305e-06,-1.8638840578342852,-2.0312225393119125,0.0,0.003820202236176856,0.00038202022361768557,4340.820314543263,4340.949498747248,-66541.60831892025,-4560608.181080243,0.051569490631943,0.051569490631943,0.5888953500293348,100.0,100.0)
PVTTABLE POINT = (25200000.0,88.0,404.259748585951,404.259748585951,1.1748489546817416e-05,1.271767499853153e-06,-1.8638840578342852,-0.7082176646845265,0.0,0.003792580188749445,0.0003792580188749445,4279.007647515498,4279.012345822181,-59648.10638659075,-4553714.679147913,0.05150274560368791,0.05150274560368791,0.5706410235777958,100.0,100.0)
PVTTABLE POINT = (25200000.0,91.0,397.21900377073456,397.21900377073456,1.1748489546817416e-05,8.674937521618255e-07,-1.8638840578342852,-0.39577105968482723,0.0,0.0037656990520610403,0.000376569905206104,4216.157363063897,4216.33291042401,-52799.083045652136,-4546865.6558069745,0.05143429710804334,0.05143429710804334,0.552823996996322,100.0,100.0)
PVTTABLE POINT = (25200000.0,94.0,390.3856010347601,390.3856010347601,1.1769617020821574e-05,1.1769617020821574e-05,-2.9438909753524176,-2.9438909753524176,1.0,0.0003793981546637634,0.0003793981546637634,4153.34041201165,4153.34041201165,-45995.197014365345,-45995.197014365345,0.0666099540052098,0.0666099540052098,0.0,100.0,100.0)
PVTTABLE POINT = (25200000.0,97.0,383.7567745869167,383.7567745869167,1.1748104885570162e-05,1.1748104885570162e-05,-2.849904543974974,-2.849904543974974,1.0,0.0003740856221741083,0.0003740856221741083,4090.419019350864,4090.419019350864,-39236.802573354915,-39236.802573354915,0.06592823725728222,0.06592823725728222,0.0,100.0,100.0)
PVTTABLE POINT = (25200000.0,100.0,377.3290676441148,377.3290676441148,1.171579013142762e-05,1.171579013142762e-05,-2.7578364010001173,-2.7578364010001173,1.0,0.0003691133407782347,0.0003691133407782347,4027.9069150792657,4027.9069150792657,-32523.977463718504,-32523.977463718504,0.06529022672727935,0.06529022672727935,0.0,100.0,100.0)
PVTTABLE POINT = (25200000.0,103.0,371.098443247028,371.098443247028,1.1673721011040445e-05,1.1673721011040445e-05,-2.6679194511087583,-2.6679194511087583,1.0,0.000364460508591705,0.000364460508591705,3966.0968264053404,3966.0968264053404,-25856.55119676981,-25856.55119676981,0.06469396521211732,0.06469396521211732,0.0,100.0,100.0)
PVTTABLE POINT = (25200000.0,106.0,365.0603892729146,365.0603892729146,1.1622913340907906e-05,1.1622913340907906e-05,-2.5803391471205552,-2.5803391471205552,1.0,0.00036010723132046563,0.00036010723132046563,3905.237721926408,3905.237721926408,-19234.133964434266,-19234.133964434266,0.06413752675168607,0.06413752675168607,0.0,100.0,100.0)
PVTTABLE POINT = (25200000.0,109.0,359.2100156074208,359.2100156074208,1.1564339373448041e-05,1.1564339373448041e-05,-2.4952376539919077,-2.4952376539919077,1.0,0.0003560348863461402,0.0003560348863461402,3845.5373595594606,3845.5373595594606,-12656.144840239547,-12656.144840239547,0.06361902822190535,0.06361902822190535,0.0,100.0,100.0)
PVTTABLE POINT = (25200000.0,112.0,353.54214260590413,353.54214260590413,1.1498919671863494e-05,1.1498919671863494e-05,-2.4127182834664542,-2.4127182834664542,1.0,0.00035222585528221144,0.00035222585528221144,3787.165414919149,3787.165414919149,-6121.838923876174,-6121.838923876174,0.06313663862550467,0.06313663862550467,0.0,100.0,100.0)
PVTTABLE POINT = (25200000.0,115.0,348.0513801259902,348.0513801259902,1.1427517629292798e-05,1.1427517629292798e-05,-2.3328499988431597,-2.3328499988431597,1.0,0.00034866365714407286,0.00034866365714407286,3730.2569460876143,3730.2569460876143,369.66735924221575,369.66735924221575,0.06268858625071551,0.06268858625071551,0.0,100.0,100.0)
PVTTABLE POINT = (25200000.0,118.0,342.73219693696547,342.73219693696547,1.1350936245678654e-05,1.1350936245678654e-05,-2.255671833945222,-2.255671833945222,1.0,0.00034533272265381115,0.00034533272265381115,3674.916003043641,3674.916003043641,6819.373202147894,6819.373202147894,0.06227316391133257,0.06227316391133257,0.0,100.0,100.0)
PVTTABLE POINT = (25200000.0,121.0,337.5789823601239,337.5789823601239,1.1269916775925533e-05,1.1269916775925533e-05,-2.181197111489055,-2.181197111489055,1.0,0.00034221862105277717,0.00034221862105277717,3621.2192569114536,3621.2192569114536,13228.371047948487,13228.371047948487,0.06188873272678671,0.06188873272678671,0.0,100.0,100.0)
PVTTABLE POINT = (25200000.0,124.0,332.58609783879626,332.58609783879626,1.1185138882996553e-05,1.1185138882996553e-05,-2.1094173820102897,-2.1094173820102897,1.0,0.00033930772739105826,0.00033930772739105826,3569.219488386517,3569.219488386517,19597.827895913273,19597.827895913273,0.06153372429240818,0.06153372429240818,0.0,100.0,100.0)
PVTTABLE POINT = (25200000.0,127.0,327.7479212508536,327.7479212508536,1.1097221962436733e-05,1.1097221962436733e-05,-2.040306034575872,-2.040306034575872,1.0,0.000336587395615547,0.000336587395615547,3518.9488959164064,3518.9488959164064,25928.96787984483,25928.96787984483,0.061206641769230866,0.061206641769230866,0.0,100.0,100.0)
PVTTABLE POINT = (25200000.0,130.0,323.0588842073288,323.0588842073288,1.100672734459693e-05,1.100672734459693e-05,-1.9738215546452489,-1.9738215546452489,1.0,0.0003340458299288461,0.0003340458299288461,3470.4221634684927,3470.4221634684927,32223.05655879993,32223.05655879993,0.06090606003163754,0.06090606003163754,0.0,100.0,100.0)
PVTTABLE POINT = (27400000.0,40.0,562.7870829303743,562.7870829303743,1.100672734459693e-05,5.710463377360652e-07,-1.9738215546452489,-0.36448190198704816,0.0,0.004354021660851078,0.00043540216608510784,4555.70896147156,4555.494676526082,-176972.68580378406,-4671039.258565106,0.05242226597991216,0.05242226597991216,0.891775728012487,100.0,100.0)
PVTTABLE POINT = (27400000.0,43.0,553.4964656241614,553.4964656241614,1.100672734459693e-05,1.3005885344451813e-06,-1.9738215546452489,-0.6789798286354518,0.0,0.004331449014853394,0.0004331449014853394,4563.743405077057,4563.52512812087,-169923.85323011503,-4663990.425991437,0.05237209083682495,0.05237209083682495,0.870362608745029,100.0,100.0)
PVTTABLE POINT = (27400000.0,46.0,544.2807335053772,544.2807335053772,1.100672734459693e-05,1.204703677114761e-06,-1.9738215546452489,-1.6171553114622041,0.0,0.004308136822739702,0.0004308136822739701,4566.7033465183895,4566.703842612632,-162867.76777085476,-4656934.340532177,0.0523211421240318,0.0523211421240318,0.8490920764828842,100.0,100.0)
PVTTABLE POINT = (27400000.0,49.0,535.1521402792556,535.1521402792556,1.100672734459693e-05,5.017463252729377e-07,-1.9738215546452489,-0.29355362511068783,0.0,0.004284210311574236,0.0004284210311574236,4564.959551462001,4564.956109687861,-155808.04873383418,-4649874.621495157,0.05226938742427462,0.05226938742427462,0.8279689713068616,100.0,100.0)
PVTTABLE POINT = (27400000.0,52.0,526.1225904817562,526.1225904817562,1.100672734459693e-05,1.0833984690835864e-06,-1.9738215546452489,-0.6048229699207844,0.0,0.004259846882144964,0.00042598468821449637,4558.264372986869,4558.267670053159,-148748.34757981263,-4642814.920341135,0.052216791991138434,0.052216791991138434,0.8069986265512112,100.0,100.0)
PVTTABLE POINT = (27400000.0,55.0,517.2035073548601,517.2035073548601,1.100672734459693e-05,9.585243094383688e-07,-1.9738215546452489,-0.5914350214223428,0.0,0.004235510016553924,0.00042355100165539233,4546.686519918125,4546.686229855918,-141692.30665436294,-4635758.879415685,0.052163318499469494,0.052163318499469494,0.7861869543218376,100.0,100.0)
PVTTABLE POINT = (27400000.0,58.0,508.4057105961014,508.4057105961014,1.100672734459693e-05,6.854562593197273e-07,-1.9738215546452489,-0.4103291759923543,0.0,0.004211793417129788,0.0004211793417129788,4530.3719645526035,4530.320957578956,-134643.51949916687,-4628710.092260489,0.05210892675893248,0.05210892675893248,0.765540553478644,100.0,100.0)
PVTTABLE POINT = (27400000.0,61.0,499.739303062217,499.739303062217,1.100672734459693e-05,7.497511235597911e-07,-1.9738215546452489,-0.455645114806016,0.0,0.004185664014074643,0.0004185664014074643,4509.085083646423,4509.339911555777,-127605.48973702267,-4621672.062498345,0.05205357338359675,0.05205357338359675,0.7450668482586026,100.0,100.0)
