COLUMNS = (PT,TM,ROG,ROHL,DROGDP,DROHLDP,DROGDT,DROHLDT,RS,VISG,VISHL,CPG,CPHL,HG,HHL,TCG,TCHL,SIGGHL,SEG,SEHL)
PVTTABLE POINT = (12000000.0,88.0,190.87289504966134,653.5277267997591,1.6629283975181657e-05,1.6629283975181657e-05,-3.387724458940491,-3.387724458940491,0.990491015157617,0.002267035125147828,0.0028009833381170647,3645.757778954429,2727.3142421897787,-32281.428101265803,-361721.5711196498,0.041409673040159356,0.0713578842349475,7.158485117797403,100.0,100.0)
PVTTABLE POINT = (12000000.0,91.0,187.27346285341517,655.0395506714245,1.6766003343667938e-06,1.6766003343667938e-06,-0.8396055532743412,-0.8396055532743412,0.9917202560238655,0.0022627349548030966,0.0028832823685026937,3540.299923318612,2706.3613420633774,-21636.383737782016,-271250.81720728474,0.041352629474100615,0.0718424832450945,7.284729462979537,100.0,100.0)
PVTTABLE POINT = (12000000.0,94.0,183.8479510649081,656.5916132476094,1.247735023757084e-06,1.247735023757084e-06,-0.49683044696767326,-0.49683044696767326,0.9928450411157411,0.002259374980912374,0.0029643270651681613,3444.279673906587,2686.810389053003,-11305.849296506494,-184114.83858345216,0.041316481248067624,0.07231573067544324,7.410025488393203,100.0,100.0)
PVTTABLE POINT = (12000000.0,97.0,180.58320018673146,658.1308250676465,1.7525290287979725e-05,1.7525290287979725e-05,-1.3818542097474613,-1.3818542097474613,0.9938765349819264,0.0022568958458598085,0.0030322318666961864,3356.6185621544087,2668.887928631194,-1265.2907461244613,-100872.89771548798,0.041299479480485464,0.07278107833494322,7.534733419739902,100.0,100.0)
PVTTABLE POINT = (12000000.0,100.0,177.4680755594434,659.5996217505116,1.2020155971953692e-06,1.2020155971953692e-06,-0.5162216284388332,-0.5162216284388332,0.9948284537667685,0.0022551828772619715,0.0031133832256918605,3276.3979463557644,2652.7955612765445,8523.549320424907,-22020.063033702783,0.041300108984208085,0.07329088522902434,7.659891871711975,100.0,100.0)
PVTTABLE POINT = (12000000.0,103.0,174.4930006957941,660.9419311280581,3.805344359936108e-06,3.805344359936108e-06,-1.1464423565187762,-1.1464423565187762,0.9957159725433928,0.002254235349462808,0.003189562972907331,3202.829008982333,2638.6806417938087,18108.541261962615,52077.03446179116,0.04131703913721699,0.07378089741151257,7.7805874552326655,100.0,100.0)
PVTTABLE POINT = (12000000.0,106.0,171.649573382874,662.1085053095886,3.851314369167195e-06,3.851314369167195e-06,-2.9009469934228833,-2.9009469934228833,0.996554705714008,0.002254006627279203,0.0032591161895867923,3135.2288878935506,2626.6205858271137,27543.04692387022,121216.2953040069,0.041349085403740854,0.07424774361194632,7.895790171617406,100.0,100.0)
PVTTABLE POINT = (12000000.0,109.0,168.93027342433086,663.060406441841,1.0999588181876053e-06,1.0999588181876053e-06,-0.42934240051253464,-0.42934240051253464,0.9973598988653057,0.002254455460911187,0.0033207527736457978,3073.00202691043,2616.622099379383,36882.395009268075,185363.33984103333,0.0413951806267061,0.07468820164935679,8.00454902233375,100.0,100.0)
PVTTABLE POINT = (12000000.0,112.0,166.32826080371416,663.7705252405682,2.9066856412970006e-06,2.9066856412970006e-06,-0.9877401982424664,-0.9877401982424664,0.9981459172041235,0.0022562231145599166,0.003373633851455722,3015.625800465807,2608.630723691916,46181.385152965784,244630.7637647069,0.041454354609057914,0.07509932865670742,8.106055337803472,100.0,100.0)
PVTTABLE POINT = (12000000.0,115.0,163.8372428037057,664.2233139448747,2.4573222223916194e-06,2.4573222223916194e-06,-0.9403020984806268,-0.9403020984806268,0.9989259860534617,0.0022585871665680005,0.0034174118299477338,2962.6393527987793,2602.546027042697,55492.73241821863,299243.68252032483,0.04152571974043738,0.07547848501242667,8.199675845410576,100.0,100.0)
PVTTABLE POINT = (12000000.0,118.0,161.45139386721863,664.4133381209334,1.581785653575151e-06,1.581785653575151e-06,-0.6214043820346007,-0.6214043820346007,0.9997121464294475,0.0022614853070624056,0.0034523586017275675,2913.6348344555186,2598.2376895988887,64866.38964957651,349502.2596298484,0.04160846085643216,0.07582323624324709,8.284958969944501,100.0,100.0)
