COLUMNS = (PT,TM,ROG,ROHL,DROGDP,DROHLDP,DROGDT,DROHLDT,RS,VISG,VISHL,CPG,CPHL,HG,HHL,TCG,TCHL,SIGGHL,SEG,SEHL)
PVTTABLE POINT = (60400000.0,112.0,594.3438353044239,594.3438353044239,4.149363006831147e-06,4.149363006831147e-06,-2.1079327371319194,-2.1079327371319194,1.0,0.0006911140613938166,0.0006911140613938166,3060.122871736453,3060.122871736453,-41685.77286200877,-41685.77286200877,0.10690441750630787,0.10690441750630787,0.0,100.0,100.0)
PVTTABLE POINT = (60400000.0,115.0,589.5009062300566,589.5009062300566,4.182535596272448e-06,4.182535596272448e-06,-2.085455601388401,-2.085455601388401,1.0,0.0006820370646741328,0.0006820370646741328,3053.9109199526984,3053.9109199526984,-35673.31888883747,-35673.31888883747,0.10610703187102674,0.10610703187102674,0.0,100.0,100.0)
PVTTABLE POINT = (60400000.0,118.0,584.7068748184332,584.7068748184332,4.214338295537019e-06,4.214338295537019e-06,-2.062694628151481,-2.062694628151481,1.0,0.0006732637082936652,0.0006732637082936652,3047.411487567938,3047.411487567938,-29660.777701863088,-29660.777701863088,0.10533235559958042,0.10533235559958042,0.0,100.0,100.0)
PVTTABLE POINT = (60400000.0,121.0,579.962344545538,579.962344545538,4.244771929785873e-06,4.244771929785873e-06,-2.0396841330258746,-2.0396841330258746,1.0,0.0006647835966062277,0.0006647835966062277,3040.644595183267,3040.644595183267,-23648.384884534404,-23648.384884534404,0.1045800773871477,0.1045800773871477,0.0,100.0,100.0)
PVTTABLE POINT = (60400000.0,124.0,575.2678469112071,575.2678469112071,4.273840331817553e-06,4.273840331817553e-06,-2.0164576569611783,-2.0164576569611783,1.0,0.0006565866769370452,0.0006565866769370452,3033.630163873867,3033.630163873867,-17636.359220064245,-17636.359220064245,0.10384987567423731,0.10384987567423731,0.0,100.0,100.0)
PVTTABLE POINT = (60400000.0,127.0,570.6238431215368,570.6238431215368,4.301550191703557e-06,4.301550191703557e-06,-1.993047872419433,-1.993047872419433,1.0,0.0006486631844548008,0.0006486631844548008,3026.3879361225167,3026.3879361225167,-11624.90284732543,-11624.90284732543,0.10314141976904977,0.10314141976904977,0.0,100.0,100.0)
PVTTABLE POINT = (60400000.0,130.0,566.0307262803326,566.0307262803326,4.327910897802987e-06,4.327910897802987e-06,-1.9694865001734145,-1.9694865001734145,1.0,0.0006410037936525214,0.0006410037936525214,3018.9374037973207,3018.9374037973207,-5614.201854590327,-5614.201854590327,0.10245437101179006,0.10245437101179006,0.0,100.0,100.0)
PVTTABLE POINT = (64800000.0,40.0,735.0258071848475,735.0258071848475,4.327910897802987e-06,3.4857683060038045e-07,-1.9694865001734145,-0.26985873873060506,0.0,0.005239619168786562,0.0005239619168786562,3004.542865162621,3004.5394330291197,-183837.1461252002,-4677903.718886523,0.05242226597991216,0.05242226597991216,0.891775728012487,100.0,100.0)
PVTTABLE POINT = (64800000.0,43.0,729.6172498985029,729.6172498985029,4.327910897802987e-06,6.486158451149489e-07,-1.9694865001734145,-0.441688979190653,0.0,0.005244478802166837,0.0005244478802166837,3009.55736592001,3009.552490354953,-177996.55779014807,-4672063.13055147,0.05237209083682495,0.05237209083682495,0.870362608745029,100.0,100.0)
PVTTABLE POINT = (64800000.0,46.0,724.2207335177604,724.2207335177604,4.327910897802987e-06,7.909363162573294e-07,-1.9694865001734145,-1.2265683997737917,0.0,0.005248665419338651,0.0005248665419338651,3014.1017410467352,3014.0941890383206,-172146.64207382686,-4666213.214835149,0.0523211421240318,0.0523211421240318,0.8490920764828842,100.0,100.0)
PVTTABLE POINT = (64800000.0,49.0,718.8380457851714,718.8380457851714,4.327910897802987e-06,2.891551254308748e-07,-1.9694865001734145,-0.20859340948055505,0.0,0.005252255440071488,0.0005252255440071488,3018.175199187716,3018.1615359170123,-166287.77106700372,-4660354.343828326,0.05226938742427462,0.05226938742427462,0.8279689713068616,100.0,100.0)
PVTTABLE POINT = (64800000.0,52.0,713.4709554279145,713.4709554279145,4.327910897802987e-06,5.631498737560326e-07,-1.9694865001734145,-0.4008838885058258,0.0,0.0052553973644503555,0.0005255397364450355,3021.7545131108063,3021.752763877502,-160420.32064780593,-4654486.893409128,0.052216791991138434,0.052216791991138434,0.8069986265512112,100.0,100.0)
PVTTABLE POINT = (64800000.0,55.0,708.1212077277289,708.1212077277289,4.327910897802987e-06,5.26572624274079e-07,-1.9694865001734145,-0.4060698045414306,0.0,0.005258627854134098,0.0005258627854134098,3024.950815350297,3024.8673370933043,-154544.66864410043,-4648611.241405423,0.052163318499469494,0.052163318499469494,0.7861869543218376,100.0,100.0)
PVTTABLE POINT = (64800000.0,58.0,702.79052140479,702.79052140479,4.327910897802987e-06,3.863165372506769e-07,-1.9694865001734145,-0.2856697372954889,0.0,0.005262611266705764,0.0005262611266705764,3027.452532043308,3027.5059578272912,-148661.19495971315,-4642727.7677210355,0.05210892675893248,0.05210892675893248,0.765540553478644,100.0,100.0)
PVTTABLE POINT = (64800000.0,61.0,697.4805844288734,697.4805844288734,4.327910897802987e-06,4.195874128617748e-07,-1.9694865001734145,-0.31493270951561025,0.0,0.005263173890744896,0.0005263173890744895,3029.749290475924,3029.670555848881,-142770.2796307793,-4636836.852392102,0.05205357338359675,0.05205357338359675,0.7450668482586026,100.0,100.0)
PVTTABLE POINT = (64800000.0,64.0,692.1930506031405,692.1930506031405,4.327910897802987e-06,4.7489131172320216e-07,-1.9694865001734145,-0.36381654349947035,0.0,0.00526314567527872,0.000526314567527872,3031.5935156742357,3031.3642779762927,-136872.3022635039,-4630938.875024826,0.051997211408704065,0.051997211408704065,0.7247742696495518,100.0,100.0)
PVTTABLE POINT = (64800000.0,67.0,686.9295356348024,686.9295356348024,4.327910897802987e-06,5.541255631587791e-07,-1.9694865001734145,-0.432874308934565,0.0,0.005262553669066007,0.0005262553669066007,3032.8737951683893,3032.591462141213,-130967.64018276427,-4625034.212944087,0.05193978984351171,0.05193978984351171,0.7046724979923222,100.0,100.0)
PVTTABLE POINT = (64800000.0,70.0,681.6916147162137,681.6916147162137,4.327910897802987e-06,6.100148252515094e-07,-1.9694865001734145,-0.47625305902938675,0.0,0.005261425847507838,0.0005261425847507839,3033.5538395480157,3033.3576119408613,-125056.66864438727,-4619123.24140571,0.051881253146134176,0.051881253146134176,0.6847727959995731,100.0,100.0)
PVTTABLE POINT = (64800000.0,73.0,676.4808185540178,676.4808185540178,4.327910897802987e-06,7.163365438963533e-07,-1.9694865001734145,-0.5735082508204541,0.0,0.005259790993717477,0.0005259790993717476,3033.6637795399674,3033.6693564725547,-119139.75862228218,-4613206.331383605,0.05182154060235167,0.05182154060235167,0.6650884802278303,100.0,100.0)
PVTTABLE POINT = (64800000.0,76.0,671.2986309776879,671.2986309776879,4.327910897802987e-06,8.266248162024402e-07,-1.9694865001734145,-0.6513744247400732,0.0,0.005257681824380522,0.0005257681824380522,3033.529210376403,3033.5344086220302,-113217.27655846905,-4607283.849319791,0.051760585585022584,0.051760585585022584,0.6456356140473891,100.0,100.0)
PVTTABLE POINT = (64800000.0,79.0,666.1464861458693,666.1464861458693,4.327910897802987e-06,9.480675598095161e-07,-1.9694865001734145,-0.7475013654633932,0.0,0.0052551352230969855,0.0005255135223096986,3033.0630807405296,3032.9615159277687,-107289.58318555821,-4601356.155946881,0.05169831466344081,0.05169831466344081,0.6264340746123613,100.0,100.0)
PVTTABLE POINT = (64800000.0,82.0,661.0257660500154,661.0257660500154,4.327910897802987e-06,1.2010368460912558e-06,-1.9694865001734145,-0.9303765263398843,0.0,0.005252198094784005,0.0005252198094784005,3031.961311569614,3031.9604028713507,-101357.03259772342,-4595423.605359046,0.051634646521843734,0.051634646521843734,0.6075092960217184,100.0,100.0)
PVTTABLE POINT = (64800000.0,85.0,655.9377986262463,655.9377986262463,4.327910897802987e-06,1.6209998456956891e-06,-1.9694865001734145,-1.0813057862460904,0.0,0.005248935097653762,0.0005248935097653762,3030.5966534886547,3030.54171377224,-95419.9717968721,-4589486.5445581945,0.051569490631943,0.051569490631943,0.5888953500293348,100.0,100.0)
PVTTABLE POINT = (64800000.0,88.0,650.8838552102613,650.8838552102613,4.327910897802987e-06,7.2397342462602e-07,-1.9694865001734145,-0.5000060195430688,0.0,0.005245451128555279,0.0005245451128555279,3028.7350034376404,3028.716943394155,-89478.73906667717,-4583545.311828,0.05150274560368791,0.05150274560368791,0.5706410235777958,100.0,100.0)
PVTTABLE POINT = (64800000.0,91.0,645.8651495204213,645.8651495204213,4.327910897802987e-06,4.3344684201271453e-07,-1.9694865001734145,-0.25730650623203466,0.0,0.005241960706629377,0.0005241960706629376,3026.466776743355,3026.4983725441725,-83533.66416869778,-4577600.23693002,0.05143429710804334,0.05143429710804334,0.552823996996322,100.0,100.0)
PVTTABLE POINT = (64800000.0,94.0,640.882835754859,640.882835754859,3.585523869064889e-06,3.585523869064889e-06,-2.152989676160921,-2.152989676160921,1.0,0.0007923506169147723,0.0007923506169147723,3023.898993231059,3023.898993231059,-77585.06693338603,-77585.06693338603,0.11631080295509011,0.11631080295509011,0.0,100.0,100.0)
PVTTABLE POINT = (64800000.0,97.0,635.9380076135449,635.9380076135449,3.6237239524190198e-06,3.6237239524190198e-06,-2.1353965559904453,-2.1353965559904453,1.0,0.000780786144103234,0.000780786144103234,3020.9324361904646,3020.9324361904646,-71633.25692072418,-71633.25692072418,0.11537156877583261,0.11537156877583261,0.0,100.0,100.0)
PVTTABLE POINT = (64800000.0,100.0,631.0316975724423,631.0316975724423,3.6608583997271985e-06,3.6608583997271985e-06,-2.117343962788252,-2.117343962788252,1.0,0.0007695962691761076,0.0007695962691761076,3017.612896226327,3017.612896226327,-65678.53307205439,-65678.53307205439,0.11445526136031421,0.11445526136031421,0.0,100.0,100.0)
PVTTABLE POINT = (64800000.0,103.0,626.1648759467973,626.1648759467973,3.6969086490782396e-06,3.6969086490782396e-06,-2.0988616975068295,-2.0988616975068295,1.0,0.0007587684993006573,0.0007587684993006573,3013.9550544610106,3013.9550544610106,-59721.18279319536,-59721.18279319536,0.11356169137029432,0.11356169137029432,0.0,100.0,100.0)
PVTTABLE POINT = (64800000.0,106.0,621.3384505604887,621.3384505604887,3.7318588720788097e-06,3.7318588720788097e-06,-2.0799796402167687,-2.0799796402167687,1.0,0.0007482908031751558,0.0007482908031751558,3009.974002683319,3009.974002683319,-53761.48163518496,-53761.48163518496,0.11269065417217403,0.11269065417217403,0.0,100.0,100.0)
PVTTABLE POINT = (64800000.0,109.0,616.5532666583475,616.5532666583475,3.7656959461509266e-06,3.7656959461509266e-06,-2.0607276362438993,-2.0607276362438993,1.0,0.0007381515942167774,0.0007381515942167774,3005.6851672776797,3005.6851672776797,-47799.69292115513,-47799.69292115513,0.11184193077954446,0.11184193077954446,0.0,100.0,100.0)
PVTTABLE POINT = (64800000.0,112.0,611.8101071039106,611.8101071039106,3.7984094125435476e-06,3.7984094125435476e-06,-2.041135387258658,-2.041135387258658,1.0,0.0007283395529388553,0.0007283395529388553,3001.1042360372167,3001.1042360372167,-41836.067620713264,-41836.067620713264,0.11101528881741946,0.11101528881741946,0.0,100.0,100.0)
PVTTABLE POINT = (64800000.0,115.0,607.1096926307092,607.1096926307092,3.829991421072886e-06,3.829991421072886e-06,-2.021232347955377,-2.021232347955377,1.0,0.0007188438521982631,0.0007188438521982631,2996.247084617734,2996.247084617734,-35870.84399658162,-35870.84399658162,0.11021048344950486,0.11021048344950486,0.0,100.0,100.0)
PVTTABLE POINT = (64800000.0,118.0,602.4526819827528,602.4526819827528,3.860436662694904e-06,3.860436662694904e-06,-2.001047628861911,-2.001047628861911,1.0,0.0007096539322256406,0.0007096539322256406,2991.129704405504,2991.129704405504,-29904.246865472756,-29904.246865472756,0.10942725823038885,0.10942725823038885,0.0,100.0,100.0)
PVTTABLE POINT = (64800000.0,121.0,597.8396733570877,597.8396733570877,3.889742291079953e-06,3.889742291079953e-06,-1.9806099057212307,-1.9806099057212307,1.0,0.0007007595814754303,0.0007007595814754303,2985.7681387533935,2985.7681387533935,-23936.488483423367,-23936.488483423367,0.1086653462147672,0.1086653462147672,0.0,100.0,100.0)
PVTTABLE POINT = (64800000.0,124.0,593.2712047607882,593.2712047607882,3.917907834405099e-06,3.917907834405099e-06,-1.9599473357885102,-1.9599473357885102,1.0,0.0006921509539671717,0.0006921509539671717,2980.1784151966876,2980.1784151966876,-17967.76763306372,-17967.76763306372,0.10792447075443592,0.10792447075443592,0.0,100.0,100.0)
PVTTABLE POINT = (64800000.0,127.0,588.7477551562536,588.7477551562536,3.944935098605997e-06,3.944935098605997e-06,-1.9390874812915382,-1.9390874812915382,1.0,0.0006838186210153158,0.0006838186210153158,2974.3764851311657,2974.3764851311657,-11998.26971939113,-11998.26971939113,0.10720434643009505,0.10720434643009505,0.0,100.0,100.0)
PVTTABLE POINT = (64800000.0,130.0,584.2697460709377,584.2697460709377,3.970828063337078e-06,3.970828063337078e-06,-1.9180572402102654,-1.9180572402102654,1.0,0.0006757531880606948,0.0006757531880606948,2968.3781683034686,2968.3781683034686,-6028.167289830744,-6028.167289830744,0.1065046800345663,0.1065046800345663,0.0,100.0,100.0)
PVTTABLE POINT = (69200000.0,40.0,746.6582626633026,746.6582626633026,3.970828063337078e-06,3.31796453653229e-07,-1.9180572402102654,-0.2620267191211112,0.0,0.0052970589178600045,0.0005297058917860004,2940.1924150588247,2940.1828749447836,-182337.27951264568,-4676403.852273968,0.05242226597991216,0.05242226597991216,0.891775728012487,100.0,100.0)
PVTTABLE POINT = (69200000.0,43.0,741.4640944395553,741.4640944395553,3.970828063337078e-06,6.088020108540102e-07,-1.9180572402102654,-0.4251216709651818,0.0,0.0053033810229421415,0.0005303381022942141,2944.968111385058,2944.9738335368265,-176552.23766751494,-4670618.810428837,0.05237209083682495,0.05237209083682495,0.870362608745029,100.0,100.0)
PVTTABLE POINT = (69200000.0,46.0,736.2806514005845,736.2806514005845,3.970828063337078e-06,7.592974352072682e-07,-1.9180572402102654,-1.1946298875676264,0.0,0.005309038175544622,0.0005309038175544622,2949.376530006828,2949.3583261806157,-170757.9424543539,-4664824.515215676,0.0523211421240318,0.0523211421240318,0.8490920764828842,100.0,100.0)
PVTTABLE POINT = (69200000.0,49.0,731.1095061757621,731.1095061757621,3.970828063337078e-06,2.7399573460571864e-07,-1.9180572402102654,-0.2018908019373479,0.0,0.00531410717187539,0.0005314107171875389,2953.351985843581,2953.3341879752047,-164954.7095485162,-4659021.282309839,0.05226938742427462,0.05226938742427462,0.8279689713068616,100.0,100.0)
PVTTABLE POINT = (69200000.0,52.0,725.9522146797968,725.9522146797968,3.970828063337078e-06,5.300705639117419e-07,-1.9180572402102654,-0.38625210622069617,0.0,0.005318737623608285,0.0005318737623608285,2956.901246566114,2956.9002222485265,-159142.857874088,-4653209.43063541,0.052216791991138434,0.052216791991138434,0.8069986265512112,100.0,100.0)
PVTTABLE POINT = (69200000.0,55.0,720.8103124766255,720.8103124766255,3.970828063337078e-06,4.977785116065637e-07,-1.9180572402102654,-0.39229024663202394,0.0,0.0053234738002096655,0.0005323473800209666,2960.056417321019,2960.056200483847,-153322.70795771014,-4647389.2807190325,0.052163318499469494,0.052163318499469494,0.7861869543218376,100.0,100.0)
PVTTABLE POINT = (69200000.0,58.0,715.6853124726978,715.6853124726978,3.970828063337078e-06,3.6560769308558437e-07,-1.9180572402102654,-0.27611219991915775,0.0,0.005328987013349024,0.0005328987013349023,2963.050548980399,2962.8028661336166,-147494.58228497766,-4641561.1550463,0.05210892675893248,0.05210892675893248,0.765540553478644,100.0,100.0)
PVTTABLE POINT = (69200000.0,61.0,710.5787014718101,710.5787014718101,3.970828063337078e-06,3.969484203612474e-07,-1.9180572402102654,-0.30424588822615417,0.0,0.005331031058567796,0.0005331031058567797,2965.132256300973,2965.1419232489297,-141658.80354595464,-4635725.376307277,0.05205357338359675,0.05205357338359675,0.7450668482586026,100.0,100.0)
PVTTABLE POINT = (69200000.0,64.0,705.4919375547745,705.4919375547745,3.970828063337078e-06,4.489462973174621e-07,-1.9180572402102654,-0.3512149814411637,0.0,0.005332484677365852,0.0005332484677365852,2966.9972781024,2967.0760278341054,-135815.69431053195,-4629882.267071854,0.051997211408704065,0.051997211408704065,0.7247742696495518,100.0,100.0)
PVTTABLE POINT = (69200000.0,67.0,700.4264468626862,700.4264468626862,3.970828063337078e-06,5.231612563877344e-07,-1.9180572402102654,-0.4174445632616309,0.0,0.0053333731406823,0.0005333373140682299,2968.6233537395333,2968.608765992554,-129965.57537682913,-4624032.1481381515,0.05193978984351171,0.05193978984351171,0.7046724979923222,100.0,100.0)
PVTTABLE POINT = (69200000.0,70.0,695.3836218193749,695.3836218193749,3.970828063337078e-06,5.751261086759441e-07,-1.9180572402102654,-0.4588039669657458,0.0,0.0053337229511069145,0.0005333722951106915,2969.8925974407975,2969.7446346318084,-124108.76619298756,-4618175.33895431,0.051881253146134176,0.051881253146134176,0.6847727959995731,100.0,100.0)
PVTTABLE POINT = (69200000.0,73.0,690.3648178354138,690.3648178354138,3.970828063337078e-06,6.742826728804948e-07,-1.9180572402102654,-0.5519092919735148,0.0,0.005333562409681476,0.0005333562409681476,2970.4862527984224,2970.489009963894,-118245.58284881245,-4612312.155610135,0.05182154060235167,0.05182154060235167,0.6650884802278303,100.0,100.0)
PVTTABLE POINT = (69200000.0,76.0,685.3713514753912,685.3713514753912,3.970828063337078e-06,7.759525486295192e-07,-1.9180572402102654,-0.6258305919731281,0.0,0.005332922831991608,0.0005332922831991607,2970.864634063357,2970.8481162743356,-112376.33802160155,-4606442.910782924,0.051760585585022584,0.051760585585022584,0.6456356140473891,100.0,100.0)
PVTTABLE POINT = (69200000.0,79.0,680.4044981992461,680.4044981992461,3.970828063337078e-06,8.879316308684797e-07,-1.9180572402102654,-0.7173536123716652,0.0,0.005331840701262532,0.0005331840701262531,2971.0682484948866,2970.8289891548834,-106501.33998546842,-4600567.912746791,0.05169831466344081,0.05169831466344081,0.6264340746123613,100.0,100.0)
PVTTABLE POINT = (69200000.0,82.0,675.4654903402258,675.4654903402258,3.970828063337078e-06,1.1189295273054008e-06,-1.9180572402102654,-0.8909669964533349,0.0,0.005330361107294606,0.0005330361107294606,2970.435305645024,2970.439432115319,-100620.89186101686,-4594687.464622339,0.051634646521843734,0.051634646521843734,0.6075092960217184,100.0,100.0)
PVTTABLE POINT = (69200000.0,85.0,670.5555156143345,670.5555156143345,3.970828063337078e-06,1.4965762172007665e-06,-1.9180572402102654,-1.0339284938574025,0.0,0.005328548867753267,0.0005328548867753266,2969.768887242563,2969.687974915753,-94735.29132794496,-4588801.864089267,0.051569490631943,0.051569490631943,0.5888953500293348,100.0,100.0)
PVTTABLE POINT = (69200000.0,88.0,665.6757149517982,665.6757149517982,3.970828063337078e-06,6.877071292523285e-07,-1.9180572402102654,-0.4847232953734573,0.0,0.005326508481038817,0.0005326508481038817,2968.5249333847414,2968.583821398329,-88844.82915367745,-4582911.401915,0.05150274560368791,0.05150274560368791,0.5706410235777958,100.0,100.0)
PVTTABLE POINT = (69200000.0,91.0,660.8271817357681,660.8271817357681,3.970828063337078e-06,4.080375490721313e-07,-1.9180572402102654,-0.24807431524698928,0.0,0.005324456404202369,0.0005324456404202369,2967.146050602415,2967.1368028295037,-82949.78953143489,-4577016.362292757,0.05143429710804334,0.05143429710804334,0.552823996996322,100.0,100.0)
PVTTABLE POINT = (69200000.0,94.0,656.0109601425163,656.0109601425163,3.2976029756806938e-06,3.2976029756806938e-06,-2.0771565394456704,-2.0771565394456704,1.0,0.0008309286948171767,0.0008309286948171767,2965.3573220382864,2965.3573220382864,-77050.44879739359,-77050.44879739359,0.1206132330581757,0.1206132330581757,0.0,100.0,100.0)
PVTTABLE POINT = (69200000.0,97.0,651.2280443129165,651.2280443129165,3.333039503189179e-06,3.333039503189179e-06,-2.061561067797881,-2.061561067797881,1.0,0.0008189658740721527,0.0008189658740721527,2963.2563002379707,2963.2563002379707,-71147.07520478312,-71147.07520478312,0.11960997394024693,0.11960997394024693,0.0,100.0,100.0)
PVTTABLE POINT = (69200000.0,100.0,646.4793777141308,646.4793777141308,3.367593479736423e-06,3.367593479736423e-06,-2.045543307240288,-2.045543307240288,1.0,0.0008073791908726028,0.0008073791908726028,2960.845121994983,2960.845121994983,-65239.928673514165,-65239.928673514165,0.11863880081473206,0.11863880081473206,0.0,100.0,100.0)
PVTTABLE POINT = (69200000.0,103.0,641.7658522484867,641.7658522484867,3.401247865546843e-06,3.401247865546843e-06,-2.029128008171292,-2.029128008171292,1.0,0.0007961561399333581,0.0007961561399333581,2958.135577352547,2958.135577352547,-59329.25995508954,-59329.25995508954,0.11747737389563451,0.11747737389563451,0.0,100.0,100.0)
PVTTABLE POINT = (69200000.0,106.0,637.0883078936594,637.0883078936594,3.4339877239008302e-06,3.4339877239008302e-06,-2.0123400378904055,-2.0123400378904055,1.0,0.00078528449090791,0.00078528449090791,2955.1398057888528,2955.1398057888528,-53415.31038112193,-53415.31038112193,0.11660479379515681,0.11660479379515681,0.0,100.0,100.0)
PVTTABLE POINT = (69200000.0,109.0,632.4475325293447,632.4475325293447,3.4658002093603407e-06,3.4658002093603407e-06,-1.9952042928029647,-1.9952042928029647,1.0,0.0007747527699838962,0.0007747527699838962,2951.8702394124734,2951.8702394124734,-47498.3115405431,-47498.3115405431,0.1157533954692724,0.1157533954692724,0.0,100.0,100.0)
PVTTABLE POINT = (69200000.0,112.0,627.8442619941088,627.8442619941088,3.496674545642314e-06,3.496674545642314e-06,-1.9777456139065976,-1.9777456139065976,1.0,0.0007645498659515221,0.0007645498659515221,2948.3395484365215,2948.3395484365215,-41578.485191845335,-41578.485191845335,0.11492297978018548,0.11492297978018548,0.0,100.0,100.0)
PVTTABLE POINT = (69200000.0,115.0,623.2791801524658,623.2791801524658,3.5266019937591513e-06,3.5266019937591513e-06,-1.9599887060299743,-1.9599887060299743,1.0,0.0007546651106562423,0.0007546651106562423,2944.560585684083,2944.560585684083,-35656.04293133691,-35656.04293133691,0.1141133361909712,0.1141133361909712,0.0,100.0,100.0)
PVTTABLE POINT = (69200000.0,118.0,618.7529188160835,618.7529188160835,3.555575811109841e-06,3.555575811109841e-06,-1.941958061232045,-1.941958061232045,1.0,0.0007450880542036712,0.0007450880542036712,2940.546331713648,2940.546331713648,-29731.18545966968,-29731.18545966968,0.11332424345815388,0.11332424345815388,0.0,100.0,100.0)
PVTTABLE POINT = (69200000.0,121.0,614.2660588844302,614.2660588844302,3.5835912022565865e-06,3.5835912022565865e-06,-1.9236778867060638,-1.9236778867060638,1.0,0.0007358087363119448,0.0007358087363119448,2936.3098469047277,2936.3098469047277,-23804.103465251625,-23804.103465251625,0.1125554705833724,0.1125554705833724,0.0,100.0,100.0)
PVTTABLE POINT = (69200000.0,124.0,609.8191304089315,609.8191304089315,3.6106452621605384e-06,3.6106452621605384e-06,-1.9051720374686283,-1.9051720374686283,1.0,0.0007268174081995837,0.0007268174081995837,2931.864218887173,2931.864218887173,-17874.976688993163,-17874.976688993163,0.11180677745806174,0.11180677745806174,0.0,100.0,100.0)
PVTTABLE POINT = (69200000.0,127.0,605.4126133885844,605.4126133885844,3.6367369126771697e-06,3.6367369126771697e-06,-1.8864639540507004,-1.8864639540507004,1.0,0.0007181047100762984,0.0007181047100762984,2927.2225159953614,2927.2225159953614,-11943.973990236409,-11943.973990236409,0.11107791564706199,0.11107791564706199,0.0,100.0,100.0)
PVTTABLE POINT = (69200000.0,130.0,601.0469389915046,601.0469389915046,3.6618668331264534e-06,3.6618668331264534e-06,-1.8675766053459553,-1.8675766053459553,1.0,0.0007096615727982545,0.0007096615727982545,2922.397744152779,2922.397744152779,-6011.253826969303,-6011.253826969303,0.11036862922960573,0.11036862922960573,0.0,100.0,100.0)
PVTTABLE POINT = (73600000.0,40.0,757.420891847708,757.420891847708,3.6618668331264534e-06,3.162697505449688e-07,-1.8675766053459553,-0.25466077214841115,0.0,0.005349950731774698,0.0005349950731774697,2627.713089306549,2883.6387287196662,-180628.68295634445,-4674695.255717667,0.05242226597991216,0.05242226597991216,0.891775728012487,100.0,100.0)
PVTTABLE POINT = (73600000.0,43.0,752.4204665392652,752.4204665392652,3.6618668331264534e-06,5.728965952915277e-07,-1.8675766053459553,-0.409863189595515,0.0,0.005357590391838042,0.0005357590391838041,2888.240071536175,2888.241902461587,-174892.8396254424,-4668959.412386765,0.05237209083682495,0.05237209083682495,0.870362608745029,100.0,100.0)
PVTTABLE POINT = (73600000.0,46.0,747.4296764916376,747.4296764916376,3.6618668331264534e-06,7.298935613923828e-07,-1.8675766053459553,-1.164603238950073,0.0,0.005364573019589555,0.0005364573019589555,2892.51505208987,2892.490741313264,-169147.806862304,-4663214.379623626,0.0523211421240318,0.0523211421240318,0.8490920764828842,100.0,100.0)
PVTTABLE POINT = (73600000.0,49.0,742.4499180575035,742.4499180575035,3.6618668331264534e-06,2.6007512901627367e-07,-1.8675766053459553,-0.19562868418651602,0.0,0.005370975465390546,0.0005370975465390546,2896.405767148079,2896.3836722452284,-163393.85453349072,-4657460.427294813,0.05226938742427462,0.05226938742427462,0.8279689713068616,100.0,100.0)
PVTTABLE POINT = (73600000.0,52.0,737.4825726826622,737.4825726826622,3.6618668331264534e-06,5.000996331806384e-07,-1.8675766053459553,-0.3727364720311678,0.0,0.005376947784104459,0.0005376947784104459,2900.013211194501,2899.919901605005,-157631.25535118487,-4651697.828112507,0.052216791991138434,0.052216791991138434,0.8069986265512112,100.0,100.0)
PVTTABLE POINT = (73600000.0,55.0,732.5290039368145,732.5290039368145,3.6618668331264534e-06,4.715320488703068e-07,-1.8675766053459553,-0.3795040183872249,0.0,0.005383041700741525,0.0005383041700741524,2903.3853445256314,2903.099412173986,-151860.28339692764,-4645926.85615825,0.052163318499469494,0.052163318499469494,0.7861869543218376,100.0,100.0)
PVTTABLE POINT = (73600000.0,58.0,727.5905557461776,727.5905557461776,3.6618668331264534e-06,3.466554193727786e-07,-1.8675766053459553,-0.2672143727501224,0.0,0.0053899355158425945,0.0005389935515842595,2906.298721182102,2905.9229650228463,-146081.21462704148,-4640147.787388364,0.05210892675893248,0.05210892675893248,0.765540553478644,100.0,100.0)
PVTTABLE POINT = (73600000.0,61.0,722.6685495522605,722.6685495522605,3.6618668331264534e-06,3.76251686015695e-07,-1.8675766053459553,-0.29430825720497844,0.0,0.005393316402445797,0.0005393316402445797,2908.388573530963,2908.392088156494,-140294.32527559903,-4634360.898036921,0.05205357338359675,0.05205357338359675,0.7450668482586026,100.0,100.0)
PVTTABLE POINT = (73600000.0,64.0,717.7642822382256,717.7642822382256,3.6618668331264534e-06,4.2527225410621583e-07,-1.8675766053459553,-0.33951853227493767,0.0,0.00539610705773707,0.000539610705773707,2910.580473498953,2910.5090691348655,-134499.8916888088,-4628566.464450131,0.051997211408704065,0.051997211408704065,0.7247742696495518,100.0,100.0)
PVTTABLE POINT = (73600000.0,67.0,712.8790234676344,712.8790234676344,3.6618668331264534e-06,4.949967638701201e-07,-1.8675766053459553,-0.4031629220450951,0.0,0.005398332186352891,0.0005398332186352891,2912.344621026333,2912.276936318396,-128698.18882821128,-4622764.761589534,0.05193978984351171,0.05193978984351171,0.7046724979923222,100.0,100.0)
PVTTABLE POINT = (73600000.0,70.0,708.01401437363,708.01401437363,3.6618668331264534e-06,5.434796411439354e-07,-1.8675766053459553,-0.4426905692320504,0.0,0.0054000174667215226,0.0005400017466721522,2913.8300910622706,2913.699443846828,-122889.49084477779,-4616956.0636061,0.051881253146134176,0.051881253146134176,0.6847727959995731,100.0,100.0)
