PT;TM;ROG;ROHL;DROGDP;DROHLDP;DROGDT;DROHLDT;RS;VISG;VISHL;CPG;CPHL;HG;HHL;TCG;TCHL;SIGGHL;SEG;SEHL
COMPONENTS =  (CH4,C2H6,C3H8,iC4H10,nC4H10,iC5H12,nC5H12,nC6H14,nC7H16,nC8H18,nC9H20,nC10H22,nC11H24,nC12H26,nC14H30,N2,H2O,CO2,C15+),\
PVTTABLE POINT = (32000000.0,70.0,0.0,516.5983963061767,0.0,6.495384888280833e-07,0.0,-0.3444270918960438,0.0,0.0,4.3507734757086285e-05,0.0,4076.4084068173734,0.0,-4608243.224215863,0.0,0.051881253146134176,0.6847727959995731,0.0,100.0)
PVTTABLE POINT = (32000000.0,100.0,446.8229952843076,0.0,7.963727869509848e-07,0.0,-0.36802114099629324,0.0,1.0,0.0004464815902595945,0.0,3793.3181789948103,0.0,-47679.466467282735,0.0,0.07628907456739195,0.0,0.0,100.0,0.0)
PVTTABLE POINT = (32000000.0,130.0,390.5323562889267,0.0,9.670559732456631e-07,0.0,-0.3915348039606253,0.0,1.0,0.00039604253016875383,0.0,3441.5595191101547,0.0,16552.97995080147,0.0,0.07042374840894614,0.0,0.0,100.0,0.0)
PVTTABLE POINT = (37000000.0,40.0,0.0,627.9821893281381,0.0,4.815790140642783e-07,0.0,-0.30445383089563915,0.0,0.0,4.697272723051789e-05,0.0,3803.515269686126,0.0,-4678747.791474243,0.0,0.05242226597991216,0.891775728012487,0.0,100.0)
PVTTABLE POINT = (37000000.0,70.0,0.0,553.7262497114485,0.0,5.921661448960459e-07,0.0,-0.32501534401969084,0.0,0.0,4.562372604105489e-05,0.0,3794.7514937294045,0.0,-4613571.782419332,0.0,0.051881253146134176,0.6847727959995731,0.0,100.0)
PVTTABLE POINT = (37000000.0,100.0,487.5180335396446,0.0,7.201674782636216e-07,0.0,-0.34553861705207733,0.0,1.0,0.0005011816200035529,0.0,3619.347860085285,0.0,-54682.11961776484,0.0,0.08350854101030858,0.0,0.0,100.0,0.0)
PVTTABLE POINT = (37000000.0,130.0,431.8448636684305,0.0,8.670263452766857e-07,0.0,-0.3657234350159344,0.0,1.0,0.00044148711235974706,0.0,3368.9634683706486,0.0,8768.684819734655,0.0,0.07694655817853784,0.0,0.0,100.0,0.0)
PVTTABLE POINT = (42000000.0,40.0,0.0,653.5888845587763,0.0,4.444227253313284e-07,0.0,-0.2896078989606646,0.0,0.0,4.829332150559686e-05,0.0,3571.6841978194116,0.0,-4680308.918884094,0.0,0.05242226597991216,0.891775728012487,0.0,100.0)
PVTTABLE POINT = (42000000.0,70.0,0.0,584.6401235418972,0.0,5.428758801237275e-07,0.0,-0.3078807073941233,0.0,0.0,4.7353564574282234e-05,0.0,3581.0307314301717,0.0,-4616899.723161697,0.0,0.051881253146134176,0.6847727959995731,0.0,100.0)
PVTTABLE POINT = (42000000.0,100.0,521.8790680500422,0.0,6.556327850291522e-07,0.0,-0.32592539754580196,0.0,1.0,0.0005537728549058981,0.0,3467.6247151332213,0.0,-59409.7317472361,0.0,0.09009910380940223,0.0,0.0,100.0,0.0)
PVTTABLE POINT = (42000000.0,130.0,467.54717694098844,0.0,7.835958776930857e-07,0.0,-0.343478482536698,0.0,1.0,0.00048614211164490427,0.0,3286.2761351682543,0.0,3218.0478488523513,0.0,0.08305360173876028,0.0,0.0,100.0,0.0)
PVTTABLE POINT = (47000000.0,40.0,0.0,675.5609330145102,0.0,4.1180488640686683e-07,0.0,-0.2762602427770072,0.0,0.0,4.941462431956401e-05,0.0,3395.571552403465,0.0,-4680862.567584036,0.0,0.05242226597991216,0.891775728012487,0.0,100.0)
PVTTABLE POINT = (47000000.0,70.0,0.0,611.0265143861141,0.0,5.001093335031823e-07,0.0,-0.2926232717393468,0.0,0.0,4.880850501071495e-05,0.0,3414.1056514282673,0.0,-4618844.697061943,0.0,0.051881253146134176,0.6847727959995731,0.0,100.0)
PVTTABLE POINT = (47000000.0,100.0,551.4284171419982,0.0,6.003256958246485e-07,0.0,-0.30863428122906233,0.0,1.0,0.0006043187608800878,0.0,3338.8769172111947,0.0,-62520.348767559975,0.0,0.09615629743718153,0.0,0.0,100.0,0.0)
PVTTABLE POINT = (47000000.0,130.0,498.7299249605229,0.0,7.130081201754116e-07,0.0,-0.3240652411303533,0.0,1.0,0.0005297574679055067,0.0,3205.112421372469,0.0,-670.7704418282956,0.0,0.08877182960931737,0.0,0.0,100.0,0.0)
PVTTABLE POINT = (52000000.0,40.0,0.0,694.7726831957239,0.0,3.829665116147315e-07,0.0,-0.2641838240842144,0.0,0.0,5.038628479719255e-05,0.0,3256.6809782338073,0.0,-4680676.566349425,0.0,0.05242226597991216,0.891775728012487,0.0,100.0)
PVTTABLE POINT = (52000000.0,70.0,0.0,633.9791926244189,0.0,4.626843503299604e-07,0.0,-0.27893450970587125,0.0,0.0,5.005874579956547e-05,0.0,3280.2260201387235,0.0,-4619785.421787305,0.0,0.051881253146134176,0.6847727959995731,0.0,100.0)
PVTTABLE POINT = (52000000.0,100.0,577.2365871025519,0.0,5.524412538834183e-07,0.0,-0.29325333008342663,0.0,1.0,0.0006529421598035738,0.0,3229.9108673601872,0.0,-64439.62506117951,0.0,0.10176018577895045,0.0,0.0,100.0,0.0)
PVTTABLE POINT = (52000000.0,130.0,526.2549980975525,0.0,6.52563011633827e-07,0.0,-0.3069444001277911,0.0,1.0,0.0005722353797261168,0.0,3129.7788323940167,0.0,-3297.7394767096266,0.0,0.09413718163165215,0.0,0.0,100.0,0.0)
PVTTABLE POINT = (57000000.0,40.0,0.0,711.8154399386191,0.0,3.5730820323408476e-07,0.0,-0.25319664330419067,0.0,0.0,5.124150682363262e-05,0.0,3143.960016856332,0.0,-4679926.304434331,0.0,0.05242226597991216,0.891775728012487,0.0,100.0)
PVTTABLE POINT = (57000000.0,70.0,0.0,654.2432887277946,0.0,4.2968749914475413e-07,0.0,-0.2665720860908277,0.0,0.0,5.1151107610559046e-05,0.0,3170.3897848675456,0.0,-4619968.440107225,0.0,0.051881253146134176,0.6847727959995731,0.0,100.0)
PVTTABLE POINT = (57000000.0,100.0,600.0698296513325,0.0,5.106161393869544e-07,0.0,-0.27946570332694565,0.0,1.0,0.0006997797577045307,0.0,3137.1386434586298,0.0,-65453.35951733496,0.0,0.10697546281123259,0.0,0.0,100.0,0.0)
PVTTABLE POINT = (57000000.0,130.0,550.7887146615884,0.0,6.002682405903252e-07,0.0,-0.2917098844663612,0.0,1.0,0.0006135564558297636,0.0,3061.4421385549103,0.0,-4945.919276542962,0.0,0.0991855915479577,0.0,0.0,100.0,0.0)
